
Document 1:
Index     Term           TF-IDF    
0         aromas         0.0285    
1         include        0.0903    
2         tropical       0.1096    
3         fruit          0.0660    
4         broom          0.1096    
5         brimstone      0.1096    
6         dried          0.1807    
7         herb           0.0903    
8         palate         0.0380    
9         isn            0.1096    
10        t              0.1096    
11        overly         0.1096    
12        expressive     0.1096    
13        offer          0.0660    
14        unripened      0.1096    
15        apple          0.0660    
16        citrus         0.0903    
17        sage           0.1096    
18        brisk          0.0903    
19        acidity        0.0380    

Document 2:
Index     Term           TF-IDF    
0         ripe           0.0894    
1         fruity         0.1054    
2         a              0.0124    
3         wine           0.0444    
4         smooth         0.1279    
5         structured     0.1279    
6         firm           0.0894    
7         tannins        0.0894    
8         fill           0.1279    
9         juicy          0.0894    
10        red            0.0669    
11        berry          0.0770    
12        fruits         0.0894    
13        freshened      0.1279    
14        acidity        0.0444    
15        s              0.0385    
16        drinkable      0.1279    
17        2016           0.1279    

Document 3:
Index     Term           TF-IDF    
0         tart           0.0894    
1         snappy         0.1279    
2         flavors        0.1166    
3         lime           0.1279    
4         flesh          0.1279    
5         rind           0.1054    
6         dominate       0.0894    
7         green          0.0770    
8         pineapple      0.0894    
9         pokes          0.1279    
10        crisp          0.0894    
11        acidity        0.0444    
12        underscoring   0.1279    
13        wine           0.0444    
14        stainless      0.1279    
15        steel          0.1279    
16        fermented      0.1279    

Document 4:
Index     Term           TF-IDF    
0         pineapple      0.0700    
1         rind           0.0825    
2         lemon          0.1001    
3         pith           0.1001    
4         orange         0.0825    
5         blossom        0.1001    
6         start          0.1001    
7         aromas         0.0260    
8         palate         0.0347    
9         a              0.0194    
10        bite           0.0825    
11        opulent        0.1001    
12        note           0.0523    
13        honey          0.1001    
14        drizzled       0.1001    
15        guava          0.1001    
16        mango          0.1001    
17        give           0.0825    
18        slightly       0.0700    
19        astringent     0.0825    
20        semidry        0.1001    
21        finish         0.0456    

Document 5:
Index     Term           TF-IDF    
0         regular        0.1047    
1         bottling       0.1047    
2         2012           0.1047    
3         rough          0.1047    
4         tannic         0.0732    
5         rustic         0.1047    
6         earthy         0.1047    
7         herbal         0.0862    
8         characteristics0.1047    
9         a              0.0304    
10        pleasantly     0.1047    
11        unfussy        0.1047    
12        country        0.1047    
13        wine           0.0363    
14        s              0.0315    
15        good           0.0732    
16        companion      0.1047    
17        hearty         0.1047    
18        winter         0.1047    
19        stew           0.1047    

Document 6:
Index     Term           TF-IDF    
0         blackberry     0.0703    
1         raspberry      0.0853    
2         aromas         0.0221    
3         show           0.0853    
4         a              0.0083    
5         typical        0.0853    
6         navarran       0.0853    
7         whiff          0.0853    
8         green          0.0513    
9         herbs          0.0853    
10        case           0.0853    
11        horseradish    0.0853    
12        mouth          0.0853    
13        full           0.0703    
14        bodied         0.0703    
15        tomatoey       0.0853    
16        acidity        0.0296    
17        spicy          0.0703    
18        herbal         0.0703    
19        flavors        0.0389    
20        complement     0.0853    
21        dark           0.0596    
22        plum           0.0513    
23        fruit          0.0513    
24        finish         0.0389    
25        fresh          0.0513    
26        grabby         0.0853    

Document 7:
Index     Term           TF-IDF    
0         s              0.0660    
1         a              0.0106    
2         bright         0.1096    
3         informal       0.1096    
4         red            0.0573    
5         open           0.0903    
6         aromas         0.0285    
7         candied        0.1096    
8         berry          0.0660    
9         white          0.1096    
10        pepper         0.0660    
11        savory         0.0903    
12        herb           0.0903    
13        carry          0.0766    
14        palate         0.0380    
15        balance        0.0660    
16        fresh          0.0660    
17        acidity        0.0380    
18        soft           0.1096    
19        tannins        0.0766    

Document 8:
Index     Term           TF-IDF    
0         dry            0.0926    
1         restrain       0.1459    
2         wine           0.0614    
3         offer          0.1066    
4         spice          0.1459    
5         profusion      0.1771    
6         balance        0.1066    
7         acidity        0.0614    
8         a              0.0172    
9         firm           0.1238    
10        texture        0.1238    
11        s              0.0533    
12        food           0.1459    

Document 9:
Index     Term           TF-IDF    
0         savory         0.1054    
1         dried          0.1054    
2         thyme          0.1279    
3         note           0.0669    
4         accent         0.1279    
5         sunnier        0.1279    
6         flavors        0.0583    
7         preserve       0.1279    
8         peach          0.1279    
9         brisk          0.1054    
10        dry            0.0669    
11        wine           0.0444    
12        s              0.0385    
13        fruity         0.1054    
14        fresh          0.0770    
15        elegant        0.1279    
16        sprightly      0.1054    
17        footprint      0.1279    

Document 10:
Index     Term           TF-IDF    
0         great          0.1354    
1         depth          0.1354    
2         flavor         0.0947    
3         fresh          0.0815    
4         apple          0.0815    
5         pear           0.1116    
6         fruits         0.0947    
7         touch          0.1354    
8         spice          0.1116    
9         s              0.0408    
10        dry            0.0708    
11        balance        0.0815    
12        acidity        0.0470    
13        a              0.0131    
14        crisp          0.0947    
15        texture        0.0947    
16        drink          0.1354    

Document 11:
Index     Term           TF-IDF    
0         a              0.0335    
1         dry            0.0602    
2         wine           0.0799    
3         spicy          0.0949    
4         tight          0.1151    
5         taut           0.1151    
6         texture        0.0805    
7         strongly       0.1151    
8         mineral        0.0949    
9         character      0.0949    
10        layered        0.1151    
11        citrus         0.0949    
12        pepper         0.0693    
13        s              0.0347    
14        food           0.0949    
15        crisp          0.0805    
16        aftertaste     0.1151    

Document 12:
Index     Term           TF-IDF    
0         slightly       0.0894    
1         reduce         0.1279    
2         wine           0.0444    
3         offer          0.0770    
4         a              0.0124    
5         chalky         0.1279    
6         tannic         0.0894    
7         backbone       0.1279    
8         juicy          0.0894    
9         explosion      0.1279    
10        rich           0.1279    
11        black          0.0894    
12        cherry         0.0894    
13        accented       0.1279    
14        firm           0.0894    
15        oak            0.0583    
16        cigar          0.1054    
17        box            0.1054    

Document 13:
Index     Term           TF-IDF    
0         dominate       0.0700    
1         oak            0.0913    
2         drive          0.0700    
3         aromas         0.0260    
4         include        0.0825    
5         roasted        0.1001    
6         coffee         0.1001    
7         bean           0.1001    
8         espresso       0.1001    
9         coconut        0.1001    
10        vanilla        0.0825    
11        carry          0.0700    
12        palate         0.0347    
13        plum           0.0603    
14        chocolate      0.1001    
15        astringent     0.0825    
16        drying         0.1001    
17        tannins        0.0700    
18        give           0.0825    
19        a              0.0097    
20        abrupt         0.1001    
21        finish         0.0456    

Document 14:
Index     Term           TF-IDF    
0         build          0.0720    
1         150            0.0720    
2         years          0.0720    
3         generations    0.0720    
4         winemaking     0.0720    
5         tradition      0.0720    
6         winery         0.0720    
7         trends         0.0720    
8         a              0.0070    
9         leaner         0.0720    
10        style          0.0720    
11        classic        0.0720    
12        california     0.0720    
13        buttercream    0.0720    
14        aroma          0.0720    
15        cut            0.0720    
16        tart           0.0503    
17        green          0.0433    
18        apple          0.0433    
19        good           0.0503    
20        everyday       0.0720    
21        sipping        0.0720    
22        wine           0.0250    
23        flavors        0.0328    
24        range          0.0720    
25        pear           0.0593    
26        barely         0.0720    
27        ripe           0.0503    
28        pineapple      0.0503    
29        prove          0.0720    
30        approachable   0.0593    
31        distinctive    0.0720    

Document 15:
Index     Term           TF-IDF    
0         zesty          0.1096    
1         orange         0.0903    
2         peels          0.1096    
3         apple          0.0660    
4         note           0.0573    
5         abound         0.1096    
6         sprightly      0.0903    
7         mineral        0.0903    
8         toned          0.1096    
9         riesling       0.1096    
10        dry            0.0573    
11        palate         0.0380    
12        racy           0.1096    
13        lean           0.1096    
14        s              0.0330    
15        a              0.0106    
16        refreshing     0.1096    
17        easy           0.1096    
18        quaffer        0.1096    
19        wide           0.1096    
20        appeal         0.1096    

Document 16:
Index     Term           TF-IDF    
0         bake           0.0658    
1         plum           0.0792    
2         molasses       0.0658    
3         balsamic       0.0658    
4         vinegar        0.0658    
5         cheesy         0.0658    
6         oak            0.0300    
7         aromas         0.0171    
8         feed           0.0658    
9         a              0.0191    
10        palate         0.0228    
11        s              0.0198    
12        braced         0.0658    
13        bolt           0.0658    
14        acidity        0.0228    
15        compact        0.0658    
16        set            0.0658    
17        saucy          0.0658    
18        red            0.0344    
19        berry          0.0396    
20        flavors        0.0300    
21        feature        0.0658    
22        tobacco        0.0542    
23        peppery        0.0658    
24        accents        0.0658    
25        finish         0.0300    
